GraphID,Vertices,Edges,PrimCost,PrimTimeMs,PrimOperations,KruskalCost,KruskalTimeMs,KruskalOperations
1,30,304,424,3.3172,402,424,1.6731,1695
2,30,304,435,0.6418,396,435,0.2144,1668
3,30,304,454,0.5486,404,454,0.1935,1707
4,30,304,416,0.5829,411,416,0.1653,1722
5,30,304,387,0.559,418,387,0.1629,1746
1,300,17940,2906,108.2338,19513,2906,6.4107,164971
2,300,17940,2951,92.6335,19260,2951,4.0562,164005
3,300,17940,2913,69.0352,19446,2913,6.4909,164812
4,300,17940,3006,73.8171,19352,3006,3.8189,164572
5,300,17940,2987,64.1497,19325,2987,2.8876,164344
6,300,17940,2969,77.283,19386,2969,3.1049,164539
7,300,17940,2955,65.571,19347,2955,2.5248,164437
8,300,17940,2937,90.745,19372,2937,2.742,164782
9,300,17940,2926,64.4149,19184,2926,2.4647,164314
10,300,17940,2956,75.7896,19704,2956,2.5973,165835
1,1000,74925,9679,1951.5627,79906,9679,11.9297,835833
2,1000,74925,9744,1895.5447,80775,9744,11.8736,838707
3,1000,74925,9654,1882.5316,80283,9654,10.6722,836307
4,1000,74925,9597,1974.8492,79729,9597,66.1825,834825
5,1000,74925,9816,1956.7123,80146,9816,10.5137,835665
6,1000,74925,9631,1940.7239,79893,9631,10.3693,836097
7,1000,74925,9674,1859.8928,79688,9674,10.2889,835578
8,1000,74925,9714,1676.0868,81017,9714,10.6984,838386
9,1000,74925,9745,1998.9858,82311,9745,10.9749,843879
10,1000,74925,9714,1516.1731,81124,9714,10.829,839103
1,1300,84435,12850,2921.0606,90297,12850,11.9905,941481
2,1600,127920,15611,5404.3073,136687,15611,20.6595,1424457
3,2000,199900,19238,9870.588,212806,19238,31.9234,2429504
